,dateRep,cases,deaths,countriesAndTerritories,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Cum_Cases,Cum_Deaths,flag,driving,transit,walking,DIY,Cafe,online_lesson,Bar,Home_Workout,Sewing,Restaurant,deaths18
122,2020-01-21,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,101.75,63.98235564853551,104.55,55.031554886446315,76.7884997226519,20.768673702600186,58.56902744688202,13.241862297287412,54.247714479928874,70.96739450457622,0.0
123,2020-01-21,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,101.54,63.98235564853551,100.7,63.30893786105717,65.333950334739,31.96459088039368,54.58082821963748,20.893325326908315,53.051911164489546,80.38004224036595,0.0
124,2020-01-21,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,107.74,101.05,103.35,46.094185741516725,65.89595532248576,5.375807152942265,93.18180424170622,5.630063494566895,50.323510019762,75.15335319768333,0.0
125,2020-01-21,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,107.83,110.39,113.37,46.47291598218564,80.85684469566054,25.007376498534104,77.65135277806986,9.284550295754116,32.10944480517626,79.42754944566971,0.0
126,2020-01-22,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,110.0,114.35,119.64,46.36311868182546,80.76219781957741,25.071556697155785,77.59686268908068,9.286014960422948,32.06476327887803,79.49959816516021,0.0
127,2020-01-22,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,106.06,63.98235564853551,104.28,63.47120540968129,65.35107923966518,31.668204028917085,54.6341295327463,21.934599775951696,53.482249666959184,80.1533549710622,0.0
128,2020-01-22,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,102.65,100.44,100.62,57.710554220901514,60.0,2.3679023072471352,34.0,10.0,9.983371680383744,54.0,0.0
129,2020-01-22,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,97.84,101.6,91.4,46.70180410625183,75.0,35.6833144965075,59.0,0.0,45.25174126452883,43.0,0.0
130,2020-01-22,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,106.04,63.98235564853551,105.48,76.34905445577908,86.00237612497278,56.810383851160864,70.11977885025681,12.347889576727553,49.107214409032544,77.54817419160085,0.0
131,2020-01-22,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,97.91,106.12,102.28,73.50638672635955,71.45424033950653,10.231877744161336,84.11765781117714,33.77945826872778,43.14903481581937,80.876286335563,0.0
132,2020-01-22,0,0,Rest_of_World,329064917.0,America,0.00030389,1,0,0.0,103.01,101.06,97.04,46.33364617941231,84.79930916797778,23.164156023932268,91.571432475029,14.712486427548217,25.826846503423912,88.64139255177024,0.0
